generic_name,generic_name_lower,source_ingredient,ingredient_id,is_combination,nafdac_url
Diloxanide furoate,diloxanide furoate,Diloxanide furoate,554,False,https://greenbook.nafdac.gov.ng/ingredient/products/554
Diltiazem,diltiazem,Diltiazem,281,False,https://greenbook.nafdac.gov.ng/ingredient/products/281
Dilute acetic acid,dilute acetic acid,Dilute acetic acid,1078,False,https://greenbook.nafdac.gov.ng/ingredient/products/1078
Diluted Nitroglycerin,diluted nitroglycerin,Diluted Nitroglycerin,1686,False,https://greenbook.nafdac.gov.ng/ingredient/products/1686
Dimercaprol,dimercaprol,Dimercaprol,963,False,https://greenbook.nafdac.gov.ng/ingredient/products/963
Dimethicone,dimethicone,Allantoin; Dimethicone; Urea,1638,True,https://greenbook.nafdac.gov.ng/ingredient/products/1638
Dimethyl polysiloxane,dimethyl polysiloxane,Aluminium hydroxide; Magnesium trisilicate; Magnesium hydroxide; Dimethyl polysiloxane,1703,True,https://greenbook.nafdac.gov.ng/ingredient/products/1703
Dimetindene,dimetindene,Dimetindene Maleate,1616,False,https://greenbook.nafdac.gov.ng/ingredient/products/1616
Dinoprostone,dinoprostone,Dinoprostone,1397,False,https://greenbook.nafdac.gov.ng/ingredient/products/1397
Diosmin,diosmin,Diosmin,218,False,https://greenbook.nafdac.gov.ng/ingredient/products/218
DIPHENHYDRAMINE,diphenhydramine,"AMMONIUM CHLORIDE, DIPHENHYDRAMINE HCL, SODIUM CITRATE, MENTHOL",2299,True,https://greenbook.nafdac.gov.ng/ingredient/products/2299
Diphenoxylate,diphenoxylate,Diphenoxylate Hydrochloride; Atropine Sulfate,194,True,https://greenbook.nafdac.gov.ng/ingredient/products/194
Diphtheria,diphtheria,"Diphtheria, Pertussis, and Tetanus vaccine",916,True,https://greenbook.nafdac.gov.ng/ingredient/products/916
Diphtheria antitoxin,diphtheria antitoxin,Diphtheria antitoxin,945,False,https://greenbook.nafdac.gov.ng/ingredient/products/945
Diphtheria Toxoid,diphtheria toxoid,Diphtheria Toxoid; Tetanus Toxoid; Adsorbed on Aluminium Phosphate; Thiomersal,2282,True,https://greenbook.nafdac.gov.ng/ingredient/products/2282
Dipivefrine,dipivefrine,Dipivefrine,1519,False,https://greenbook.nafdac.gov.ng/ingredient/products/1519
